mcc,short_name,description,unaltered_description
4225,"Public Warehousing—Farm Products, Refrigerated Goods, Household Goods Storage",Providers of storage and warehousing for farm products refrigerated storage for perishable products and storage for household goods and furniture For merchants that provide local storage and trucking services use  ,"Providers of storage and warehousing for farm products, refrigerated storage for perishable products, and storage for household goods and furniture. For merchants that provide local storage and trucking services, use MCC 4214."
4411,Cruise Lines,Merchants that provide passenger transportation on the open seas or inland waters for the purpose of vacation or pleasure Such merchants typically offer food entertainment and cabin accommodations inclusive in the fare and operate predefined and advertised routes,"Merchants that provide passenger transportation on the open seas or inland waters for the purpose of vacation or pleasure. Such merchants typically offer food, entertainment, and cabin accommodations inclusive in the fare, and operate predefined and advertised routes."
4457,Boat Leases and Boat Rentals,Merchants that primarily provide boat rental and leasing services including fishing boats non-crew houseboats sail boats powerboats jet skis and yachts,"Merchants that primarily provide boat rental and leasing services, including fishing boats, non-crew houseboats, sail boats, powerboats, jet skis, and yachts."
4468,"Marinas, Marine Service/Supplies",Operators of marinas Services provided may include boat slip rental boat storage boat cleaning incidental boat repair and the retail sale of marine supplies This  includes merchants located at a marina that sell gasoline for consumer use in boats and that do not have a separate merchant agreement from that of the marina For service station merchants located at a marina that have a separate merchant agreement from that of the marina use  ,"Operators of marinas. Services provided may include boat slip rental, boat storage, boat cleaning, incidental boat repair, and the retail sale of marine supplies. This MCC includes merchants located at a marina that sell gasoline for consumer use in boats, and that do not have a separate merchant agreement from that of the marina. For service station merchants located at a marina that have a separate merchant agreement from that of the marina, use MCC 5541."
4511,"Air Carriers, Airlines—Not Elsewhere Classified",Only those airlines and air carriers for which a unique  has not been designated,Only those airlines and air carriers for which a unique MCC has not been designated.
4582,"Airports, Airport Terminals, Flying Fields",Merchants that operate and maintain airports and flying fields Such merchants may provide aircraft cleaning and janitorial services aircraft servicing and repair aircraft storage at airports and airport hangar rental For merchants located within an airport terminal that sell food newspapers or gift or souvenir items use the appropriate  for that business such as   Eating Places and Restaurants   News Dealers and Newsstands or   Gift Card Novelty and Souvenir Shops,"Merchants that operate and maintain airports and flying fields. Such merchants may provide aircraft cleaning and janitorial services, aircraft servicing and repair, aircraft storage at airports, and airport hangar rental. For merchants located within an airport terminal that sell food, newspapers, or gift or souvenir items, use the appropriate MCC for that business, such as MCC 5812 (Eating Places and Restaurants), MCC 5994 (News Dealers and Newsstands), or MCC 5947 (Gift, Card, Novelty, and Souvenir Shops)."
4722,Travel Agencies and Tour Operators,Travel agencies that primarily provide travel information and booking services Such merchants act as agents on behalf of travelers in booking and ticketing air land or sea transportation or lodging accommodations including plane flights bus tours sea cruises car rentals rail transportation and lodging Also includes tour operators that arrange and assemble tours for sale through a travel agent or directly to the consumer A traveler may also book such tour packages and excursions through a hotel concierge or ticket office Examples include bus charters and tour bus operators,"Travel agencies that primarily provide travel information and booking services. Such merchants act as agents on behalf of travelers in booking and ticketing air, land, or sea transportation or lodging accommodations, including plane flights, bus tours, sea cruises, car rentals, rail transportation, and lodging. Also includes tour operators that arrange and assemble tours for sale through a travel agent or directly to the consumer. A traveler may also book such tour packages and excursions through a hotel concierge or ticket office. Examples include bus charters and tour bus operators."
4784,"Bridge and Road Fees, Tolls",Merchants that collect fees associated with toll roads highways and bridges,"Merchants that collect fees associated with toll roads, highways, and bridges."
4789,Transportation Services—not elsewhere classified,Merchants that provide passenger transportation services not elsewhere classified Such services include transportation via horse-drawn cabs and carriages bicycle-taxis aerial tramways airport shuttle transportation services or cable cars  For merchants providing ferry service use    For merchants providing bus transportation use    For merchants providing cruise lines use    For merchants providing passenger railway service use    For merchants providing taxi and limousine service use  ,"Merchants that provide passenger transportation services not elsewhere classified. Such services include transportation via horse-drawn cabs and carriages, bicycle-taxis, aerial tramways, airport shuttle transportation services, or cable cars. • For merchants providing ferry service, use MCC 4111. • For merchants providing bus transportation, use MCC 4131. • For merchants providing cruise lines, use MCC 4411. • For merchants providing passenger railway service, use MCC 4112. • For merchants providing taxi and limousine service, use MCC 4121."
4812,Telecommunication Equipment Including Telephone Sales,Merchants that sell telecommunications equipment such as telephones fax machines pagers cellular phones and other equipment related to telecommunications For merchants providing telecommunication services use  ,"Merchants that sell telecommunications equipment such as telephones, fax machines, pagers, cellular phones, and other equipment related to telecommunications. For merchants providing telecommunication services, use MCC 4814."
4813,Key-entry Telecom Merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,Providers of telecommunication services including local and long-distance telephone calls placed via key entry using a central access number,Providers of telecommunication services including local and long-distance telephone calls placed via key entry using a central access number.
4814,Telecommunication Services including but not limited to prepaid phone services and recurring phone services,Providers of telecommunication services such as local and long-distance telephone calls and fax services Included are merchants that sell prepaid phone services such as calling cards and merchants that provide periodic for example monthly billing of telephone calls,"Providers of telecommunication services such as local and long-distance telephone calls and fax services. Included are merchants that sell prepaid phone services such as calling cards, and merchants that provide periodic (for example, monthly) billing of telephone calls."
4816,Computer Network/Information Services,Providers of computer network information services and other online services such as cyberlocker electronic bulletin board e-mail Web site hosting services or Internet access For merchants that offer products or services via the Internet use the  that best describes the product or service being offered For merchants that provide audiotext for example psychic hotlines or videotext for example adult chat Internet sites services use   For providers of computer programming and data processing services use  ,"Providers of computer network, information services, and other online services such as cyberlocker, electronic bulletin board, e-mail, Web site hosting services, or Internet access. For merchants that offer products or services via the Internet, use the MCC that best describes the product or service being offered. For merchants that provide audiotext (for example, psychic hotlines) or videotext (for example, adult chat Internet sites) services, use MCC 5967. For providers of computer programming and data processing services, use MCC 7372."
4821,Telegraph Services,Providers of telegraph and other nonverbal message communications services such as cablegrams,Providers of telegraph and other nonverbal message communications services such as cablegrams.
4829,Money Transfer,A transaction in which funds are delivered or made available to a persons other than the Mastercard or Maestro cardholder initiating the money transfer at a location other than the location at which the money transfer is initiated These transactions include non–face-to-face transactions such as those facilitated through the Internet Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction The acquirer must include the identity and location of the money transfer agent that accepts the card and effects the transaction in the card acceptor descriptor record as the site where the transaction was effected,A transaction in which funds are delivered or made available to a person(s) other than the Mastercard or Maestro cardholder initiating the money transfer at a location other than the location at which the money transfer is initiated. These transactions include non–face-to-face transactions such as those facilitated through the Internet. Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction. The acquirer must include the identity and location of the money transfer agent that accepts the card and effects the transaction in the card acceptor descriptor record as the site where the transaction was effected.
4899,"Cable, Satellite, and Other Pay Television and Radio Services",The connection and ongoing delivery of television programming or radio programming on a subscription or fee basis,The connection and ongoing delivery of television programming or radio programming on a subscription or fee basis.
4900,"Utilities—Electric, Gas, Heating Oil, Sanitary, Water",The ongoing generation transmission or distribution of electricity gas natural or propane home heating oil water system supply services or collection and disposal of refuse For merchants providing telecommunication services use  ,"The ongoing generation, transmission, or distribution of electricity, gas (natural or propane), home heating oil, water system supply services, or collection and disposal of refuse. For merchants providing telecommunication services, use MCC 4814."
5013,Motor Vehicle Supplies and New Parts,Wholesale distributors of motor vehicle accessories tools equipment and new parts For automotive repair work use   or  as appropriate,"Wholesale distributors of motor vehicle accessories, tools, equipment, and new parts. For automotive repair work, use MCC 7531 or 7538 as appropriate."
5021,Office and Commercial Furniture,Wholesale manufacturers or distributors of office furniture for example desks chairs cabinets partitions shelving computer furniture and commercial furniture for example restaurant tables and chairs public park and building furniture church pews school desks theater seats chairs tables and magazine racks for hospital lobbies or medical or dental reception areas For wholesalers that manufacture or sell hospital equipment or furniture such as beds use  ,"Wholesale manufacturers or distributors of office furniture (for example, desks, chairs, cabinets, partitions, shelving, computer furniture) and commercial furniture (for example, restaurant tables and chairs, public park and building furniture, church pews, school desks, theater seats, chairs, tables, and magazine racks for hospital lobbies or medical or dental reception areas). For wholesalers that manufacture or sell hospital equipment or furniture such as beds, use MCC 5047."
5039,Construction Materials—not elsewhere classified,Wholesale distributors of construction materials such as prefabricated buildings lumber and glass architectural metalwork awnings fencing metal buildings and septic tanks Such merchants may or may not also sell paint and painting supplies For wholesalers that primarily sell paint and painting supplies use   For sellers and distributors of equipment used in construction projects use  ,"Wholesale distributors of construction materials such as prefabricated buildings, lumber and glass, architectural metalwork, awnings, fencing, metal buildings, and septic tanks. Such merchants may or may not also sell paint and painting supplies. For wholesalers that primarily sell paint and painting supplies, use MCC 5198. For sellers and distributors of equipment used in construction projects, use MCC 5046."
5044,"Office, Photographic, Photocopy, and Microfilm Equipment",Wholesale distributors of office and photographic equipment such as film cash registers photocopy machines microfilm machines vaults and safes typewriters fax machines adding machines and mailing machines For wholesalers of office furniture use   For wholesalers of computer equipment use  ,"Wholesale distributors of office and photographic equipment such as film, cash registers, photocopy machines, microfilm machines, vaults and safes, typewriters, fax machines, adding machines, and mailing machines. For wholesalers of office furniture, use MCC 5021. For wholesalers of computer equipment, use MCC 5045."
5045,"Computers, Computer Peripheral Equipment, Software",Wholesale distributors of computer hardware software and related equipment that may or may not conduct repair work Products for sale may include computer monitors disk drives cables keyboards printers scanners modems computer programs and related accessories and equipment Such merchants may also sell desks or other office furniture specifically designed for use with computers For merchants that primarily sell computer furniture use   For merchants that primarily conduct repair work use  ,"Wholesale distributors of computer hardware, software, and related equipment that may or may not conduct repair work. Products for sale may include computer monitors, disk drives, cables, keyboards, printers, scanners, modems, computer programs, and related accessories and equipment. Such merchants may also sell desks or other office furniture specifically designed for use with computers. For merchants that primarily sell computer furniture, use MCC 5021. For merchants that primarily conduct repair work, use MCC 7379."
5046,Commercial Equipment—not elsewhere classified,Wholesale distributors of commercial machines and equipment not classified elsewhere Examples include food service and cooking equipment neon signs balances and scales lockers commercial ovens and microwaves soda fountain fixtures store fixtures mannequins vending machines and equipment used in construction projects Such merchants may or may not also rent or lease equipment,"Wholesale distributors of commercial machines and equipment not classified elsewhere. Examples include food service and cooking equipment, neon signs, balances and scales, lockers, commercial ovens and microwaves, soda fountain fixtures, store fixtures, mannequins, vending machines, and equipment used in construction projects. Such merchants may or may not also rent or lease equipment."
5047,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment and Supplies,Wholesale distributors of laboratory surgical orthopedic patient monitoring and other hospital equipment and of wheel chairs medical instruments industrial safety devices hospital beds and other hospital supplies Also includes providers of dental laboratory orthopedic and professional supplies diagnostic equipment hearing aids first-aid kits therapy equipment and X-ray machines and parts For wholesalers of furniture such as chairs tables and magazine racks for hospital lobbies or medical or dental reception areas use   For wholesalers of hospital cleaning supplies use  ,"Wholesale distributors of laboratory, surgical, orthopedic, patient monitoring, and other hospital equipment, and of wheel chairs, medical instruments, industrial safety devices, hospital beds, and other hospital supplies. Also includes providers of dental laboratory, orthopedic, and professional supplies, diagnostic equipment, hearing aids, first-aid kits, therapy equipment, and X-ray machines and parts. For wholesalers of furniture such as chairs, tables, and magazine racks for hospital lobbies or medical or dental reception areas, use MCC 5021. For wholesalers of hospital cleaning supplies, use MCC 2842."
5051,Metal Service Centers and Offices,Wholesale distributors of semi-finished metal products excluding precious metals Products for sale may include metal piping and tubing wire screening and bale ties nails ingots aluminum bars rails metal or galvanized sheets strip metal iron rods and wire rope or cable Such merchants may operate with warehouses metal service centers or without warehouses metals sales offices For wholesale distributors of precious metals use  ,"Wholesale distributors of semi-finished metal products, excluding precious metals. Products for sale may include metal piping and tubing, wire screening and bale ties, nails, ingots, aluminum bars, rails, metal or galvanized sheets, strip metal, iron rods, and wire rope or cable. Such merchants may operate with warehouses (metal service centers) or without warehouses (metals sales offices). For wholesale distributors of precious metals, use MCC 5094."
5065,Electrical Parts and Equipment,Wholesale distributors of electrical parts and communications equipment Products for sale may include electronic coils capacitors electronic condensers diodes semiconductor devices public address equipment and electric signs For retailers that sell electronic equipment use   For retailers that sell telecommunications equipment such as telephones and pagers use  ,"Wholesale distributors of electrical parts and communications equipment. Products for sale may include electronic coils, capacitors, electronic condensers, diodes, semiconductor devices, public address equipment, and electric signs. For retailers that sell electronic equipment, use MCC 5732. For retailers that sell telecommunications equipment such as telephones and pagers, use MCC 4812."
5072,Hardware Equipment and Supplies,Wholesale distributors of general hardware and blades Products for sale may include bolts nuts rivets screws fasteners hand tools locks washers tacks staples nails hand saws saw blades and power hand tools For retailers that sell hardware use  ,"Wholesale distributors of general hardware and blades. Products for sale may include bolts, nuts, rivets, screws, fasteners, hand tools, locks, washers, tacks, staples, nails, hand saws, saw blades, and power hand tools. For retailers that sell hardware, use MCC 5251."
5074,Plumbing and Heating Equipment,Wholesale distributors of hydraulic plumbing and heating equipment and supplies Products for sale may include valves fixtures fittings convectors boilers brass goods furnaces prefabricated fireplaces radiators and parts solar heating panels and equipment and water heaters For wholesaler distributors of commercial refrigeration equipment and supplies or appliances such as electric or gas ranges and commercial ovens use  ,"Wholesale distributors of hydraulic plumbing and heating equipment and supplies. Products for sale may include valves, fixtures, fittings, convectors, boilers, brass goods, furnaces, prefabricated fireplaces, radiators and parts, solar heating panels and equipment, and water heaters. For wholesaler distributors of commercial refrigeration equipment and supplies, or appliances such as electric or gas ranges and commercial ovens, use MCC 5046."
5085,Industrial Supplies—not elsewhere classified,Wholesale distributors of industrial supplies not elsewhere classified Products for sale may include abrasives bearings boxes cans crates cork gaskets grommets hydraulic valves hoses pistons sprockets barrels bottles glass or plastic industrial fittings cordage twine and rope metals closures printers’ ink lapidary equipment leather belting mill supplies pails rubber goods textile printers’ supplies and steel drums,"Wholesale distributors of industrial supplies not elsewhere classified. Products for sale may include abrasives, bearings, boxes, cans, crates, cork, gaskets, grommets, hydraulic valves, hoses, pistons, sprockets, barrels, bottles (glass or plastic), industrial fittings, cordage, twine and rope, metals closures, printers’ ink, lapidary equipment, leather belting, mill supplies, pails, rubber goods, textile printers’ supplies, and steel drums."
5094,"Precious Stones and Metals, Watches and Jewelry",Wholesale distributors of jewelry timepieces precious stones and metals Products for sale may include costume jewelry watches and watch parts clocks silverware pearls diamonds and other gem stones gold platinum and other precious metals and trophies Such merchants may or may not conduct repair work For merchants that primarily conduct repair work use   For retailers of the items listed here use  ,"Wholesale distributors of jewelry, timepieces, precious stones, and metals. Products for sale may include costume jewelry, watches and watch parts, clocks, silverware, pearls, diamonds and other gem stones, gold, platinum and other precious metals, and trophies. Such merchants may or may not conduct repair work. For merchants that primarily conduct repair work, use MCC 7699. For retailers of the items listed here, use MCC 5944."
5099,Durable Goods—not elsewhere classified,Wholesale distributors of durable goods not elsewhere classified Products for sale may include fire extinguishers firearms gas lighting fixtures monuments and grave markers prerecorded cassettes cordwood rough timber products wood chips non-electric signs musical instruments and luggage For wholesale distributors of electric signs use  ,"Wholesale distributors of durable goods not elsewhere classified. Products for sale may include fire extinguishers, firearms, gas lighting fixtures, monuments and grave markers, prerecorded cassettes, cordwood, rough timber products, wood chips, non-electric signs, musical instruments, and luggage. For wholesale distributors of electric signs, use MCC 5065."
5111,"Stationery, Office Supplies, Printing and Writing Paper",Wholesale distributors of stationery office supplies and printing and writing paper Products for sale may include business forms photocopying supplies file cards and folders pens pencils envelopes typewriter and printer ribbons loose-leaf binders sales and receipt books and photo albums and scrapbooks For wholesaler distributors of office machines such as typewriters and photocopiers use   For wholesale distributors of office furniture use  ,"Wholesale distributors of stationery, office supplies, and printing and writing paper. Products for sale may include business forms, photocopying supplies, file cards and folders, pens, pencils, envelopes, typewriter and printer ribbons, loose-leaf binders, sales and receipt books, and photo albums and scrapbooks. For wholesaler distributors of office machines such as typewriters and photocopiers, use MCC 5044. For wholesale distributors of office furniture, use MCC 5021."
5122,"Drugs, Drug Proprietors, and Druggists Sundries",Wholesale distributors of prescription and proprietary drugs vitamins toiletries antiseptics bandages pharmaceuticals biological or related products and other miscellaneous small articles typically for sale in drug stores For wholesale distributors of surgical hospital or dental supplies use  ,"Wholesale distributors of prescription and proprietary drugs, vitamins, toiletries, antiseptics, bandages, pharmaceuticals, biological or related products, and other miscellaneous small articles typically for sale in drug stores. For wholesale distributors of surgical, hospital, or dental supplies, use MCC 5047."
5131,"Piece Goods, Notions, and Other Dry Goods",Wholesale distributors of piece goods and dry goods Products for sale may include cheesecloth drapery material draperies or other window coverings fiberglass fabrics zippers natural or synthetic cloth sold by the yard belt and buckle assembly kits textile binding buttons knit and lace fabrics ribbon sewing accessories thread and trimmings,"Wholesale distributors of piece goods and dry goods. Products for sale may include cheesecloth, drapery material, draperies or other window coverings, fiberglass fabrics, zippers, natural or synthetic cloth sold by the yard, belt and buckle assembly kits, textile binding, buttons, knit and lace fabrics, ribbon, sewing accessories, thread, and trimmings."
5137,"Men’s, Women’s, and Children’s Uniforms and Commercial Clothing",Wholesale distributors of work-related clothing and all types of uniforms for men women and children including shoes undergarments and coats graduation caps and gowns uniforms for athletics and recreational activities such as ballet karate softball and football and private or religious school uniforms For wholesale distributors of commercial footwear use  For retailers that sell apparel and accessories use the most appropriate retail merchant ,"Wholesale distributors of work-related clothing and all types of uniforms for men, women, and children, including shoes, undergarments and coats, graduation caps and gowns, uniforms for athletics and recreational activities such as ballet, karate, softball and football, and private or religious school uniforms. For wholesale distributors of commercial footwear, use 5139. For retailers that sell apparel and accessories, use the most appropriate retail merchant MCC."
5139,Commercial Footwear,Wholesale distributors of commercial shoes and boots including athletic and leather footwear For retailers that sell footwear use  ,"Wholesale distributors of commercial shoes and boots, including athletic and leather footwear. For retailers that sell footwear, use MCC 5661."
5169,Chemicals and Allied Products—not elsewhere classified,Wholesale distributors of chemicals and allied products not elsewhere classified Products for sale are typically used for industrial purposes Examples include industrial acids ammonia and alcohol heavy aromatic and other chemicals chlorine compressed and liquefied gases detergents fuel and oil additives resins salts turpentine sealants rust proofing chemicals coal tar products dry ice dyestuffs glue gelatin and explosives For retailers that sell fireworks use   For sellers of chemicals and solutions for cleaning and sanitation purposes use  ,"Wholesale distributors of chemicals and allied products not elsewhere classified. Products for sale are typically used for industrial purposes. Examples include industrial acids, ammonia and alcohol, heavy, aromatic and other chemicals, chlorine, compressed and liquefied gases, detergents, fuel and oil additives, resins, salts, turpentine, sealants, rust proofing chemicals, coal tar products, dry ice, dyestuffs, glue, gelatin, and explosives. For retailers that sell fireworks, use MCC 5999. For sellers of chemicals and solutions for cleaning and sanitation purposes, use MCC 2842."
5172,Petroleum and Petroleum Products,Wholesale distributors of petroleum and petroleum products such as butane gas crude oil fuel oil gasoline kerosene lubricating oils and greases and naphtha Merchants that provide aircraft fueling services are also included For retailers that sell fuel oil heating oil wood coal or gas propane use  ,"Wholesale distributors of petroleum and petroleum products, such as butane gas, crude oil, fuel oil, gasoline, kerosene, lubricating oils and greases, and naphtha. Merchants that provide aircraft fueling services are also included. For retailers that sell fuel oil, heating oil, wood, coal, or gas propane, use MCC 5983."
5192,"Books, Periodicals, and Newspapers",Wholesale manufacturers and distributors of books periodicals magazines journals newspapers pamphlets and educational materials Newspaper agencies are also included For wholesale printers or publishers of books periodicals and magazines use   For retailers that sell books use  ,"Wholesale manufacturers and distributors of books, periodicals, magazines, journals, newspapers, pamphlets and educational materials. Newspaper agencies are also included. For wholesale printers or publishers of books, periodicals, and magazines, use MCC 2741. For retailers that sell books, use MCC 5942."
5193,"Florists Supplies, Nursery Stock, and Flowers",Wholesale distributors of flowers nursery stock and florists’ supplies fresh and artificial flowers and potted plants For retail flower and plant shops use  ,"Wholesale distributors of flowers, nursery stock and florists’ supplies, fresh and artificial flowers, and potted plants. For retail flower and plant shops, use MCC 5992."
5198,"Paints, Varnishes, and Supplies",Wholesale distributors of paints varnishes wallpaper and supplies The product line of such merchants may include colors and pigments enamels lacquers paint brushes paint pans sandpaper drop cloths shellac rollers and sprayers For retailers that sell these items use  ,"Wholesale distributors of paints, varnishes, wallpaper, and supplies. The product line of such merchants may include colors and pigments, enamels, lacquers, paint brushes, paint pans, sandpaper, drop cloths, shellac, rollers, and sprayers. For retailers that sell these items, use MCC 5231."
